nukil_sentence,korean_sentence
mio-joi sipioius-siyon jowet.,나는 학교에 간다.
tio-joi theso-inpos lokus.,너는 저 안을 본다.
gio-joi linius-inpos injoes.,우리는 방 안에서 논다.
hio-joi volados-siyon vadin.,그는 길거리를 걷는다.
hios-joi muwat-otika muwates.,그녀는 물을 마신다.
itos-joi joius-inpos fitao.,그것은 집 안에서 죽는다.
thio-joi sipioius-siyon woliki.,그들은 학교에서 일한다.
mio-joi poda-otika lokus.,나는 음식을 본다.
gio-joi podamio-otika lokus.,우리는 밥을 본다.
tio-joi framiot-otika siros.,너는 친구를 말한다.
mio-joi linius-inpos injoes.,나는 방 안에서 논다.
hio-joi muwat-otika muwates.,그는 물을 마신다.
hios-joi linius-inpos injoes.,그녀는 방 안에서 논다.
tio-joi sipioster-otika lokus.,너는 책을 본다.
gio-joi poda-otika woliki.,우리는 음식을 먹는다.
mio-joi thious-inpos jowet.,나는 마을 안에 간다.
hio-joi volad-siyon vadin.,그는 길을 걷는다.
thio-joi paius-inpos lokus.,그들은 고향 안을 본다.
mio-joi humaio-otika siros.,나는 사람을 말한다.
tio-joi paius-inpos lokus.,너는 고향 안을 본다.
hios-joi thious-inpos woliki.,그녀는 마을 안에서 일한다.
gio-joi linius-inpos injoes.,우리는 방 안에서 논다.
mio-joi muwat-otika muwates.,나는 물을 마신다.
tio-joi sipioius-siyon jowet.,너는 학교에 간다.
hio-joi thious-inpos lokus.,그는 마을 안을 본다.
mio-joi sipioster-otika woliki.,나는 책을 읽는다.
thio-joi poda-otika woliki.,그들은 음식을 먹는다.
gio-joi linius-inpos injoes.,우리는 방 안에서 논다.
mio-joi thious-inpos hwous.,나는 마을 안에서 만든다.
tio-joi podamio-otika lokus.,너는 밥을 본다.
hios-joi paius-siyon jowet.,그녀는 고향에 간다.
mio-joi sipioius-siyon lokus.,나는 학교를 본다.
tio-joi linius-inpos injoes.,너는 방 안에서 논다.
hio-joi muwat-otika muwates.,그는 물을 마신다.
thio-joi paius-inpos lokus.,그들은 고향 안을 본다.
gio-joi sipioster-otika woliki.,우리는 책을 읽는다.
mio-joi thious-inpos woliki.,나는 마을 안에서 일한다.
tio-joi podamio-otika lokus.,너는 밥을 본다.
hios-joi paius-siyon jowet.,그녀는 고향에 간다.
mio-joi sipioius-siyon lokus.,나는 학교를 본다.
tio-joi linius-inpos injoes.,너는 방 안에서 논다.
hio-joi muwat-otika muwates.,그는 물을 마신다.
thio-joi paius-inpos lokus.,그들은 고향 안을 본다.
gio-joi theso-otika jowet.,우리는 저 곳에 간다.
mio-joi linius-inpos injoes.,나는 방 안에서 논다.
tio-joi podamio-otika lokus.,너는 밥을 본다.
hios-joi volados-siyon vadin.,그녀는 길거리를 걷는다.
mio-joi thious-inpos injoes.,나는 마을 안에서 논다.
tio-joi sipioius-siyon jowet.,너는 학교에 간다.
hio-joi theso-otika lokus.,그는 저 것을 본다.
thio-joi linius-inpos injoes.,그들은 방 안에서 논다.
gio-joi muwat-otika muwates.,우리는 물을 마신다.
mio-joi paius-inpos lokus.,나는 고향 안을 본다.
tio-joi framiot-otika siros.,너는 친구를 말한다.
hios-joi thious-inpos woliki.,그녀는 마을 안에서 일한다.
mio-joi podamio-otika lokus.,나는 밥을 본다.
tio-joi theso-inpos lokus.,너는 저 안을 본다.
hio-joi linius-inpos injoes.,그는 방 안에서 논다.
thio-joi muwat-otika muwates.,그들은 물을 마신다.
gio-joi paius-siyon jowet.,우리는 고향에 간다.
mio-joi sipioius-siyon lokus.,나는 학교를 본다.
tio-joi theso-otika lokus.,너는 저 것을 본다.
hios-joi podamio-otika lokus.,그녀는 밥을 본다.
mio-joi thious-inpos hwous.,나는 마을 안에서 만든다.
tio-joi linius-inpos injoes.,너는 방 안에서 논다.
hio-joi theso-inpos lokus.,그는 저 안을 본다.
thio-joi muwat-otika muwates.,그들은 물을 마신다.
gio-joi paius-siyon jowet.,우리는 고향에 간다.
mio-joi linius-inpos injoes.,나는 방 안에서 논다.
tio-joi theso-otika lokus.,너는 저 것을 본다.
hios-joi podamio-otika lokus.,그녀는 밥을 본다.
mio-joi thious-inpos hwous.,나는 마을 안에서 만든다.
tio-joi linius-inpos injoes.,너는 방 안에서 논다.
hio-joi muwat-otika muwates.,그는 물을 마신다.
thio-joi paius-inpos lokus.,그들은 고향 안을 본다.
gio-joi sipioster-otika jowet.,우리는 책을 가지러 간다.
mio-joi theso-otika woliki.,나는 저 곳에서 일한다.
tio-joi linius-inpos injoes.,너는 방 안에서 논다.
hios-joi podamio-otika lokus.,그녀는 밥을 본다.
mio-joi thious-inpos hwous.,나는 마을 안에서 만든다.
tio-joi theso-inpos lokus.,너는 저 안을 본다.
hio-joi muwat-otika muwates.,그는 물을 마신다.
thio-joi paius-siyon jowet.,그들은 고향에 간다.
gio-joi linius-inpos injoes.,우리는 방 안에서 논다.
mio-joi theso-otika lokus.,나는 저 것을 본다.
tio-joi podamio-otika lokus.,너는 밥을 본다.
hios-joi thious-inpos hwous.,그녀는 마을 안에서 만든다.
mio-joi linius-inpos injoes.,나는 방 안에서 논다.
tio-joi theso-inpos lokus.,너는 저 안을 본다.
hio-joi muwat-otika muwates.,그는 물을 마신다.
thio-joi paius-siyon jowet.,그들은 고향에 간다.
mio-joi theso-inpos jowet.,나는 저 안에 간다.
tio-joi poda-otika lokus.,너는 음식을 본다.
hio-joi linius-inpos injoes.,그는 방 안에서 논다.
hios-joi muwat-otika muwates.,그녀는 물을 마신다.
thio-joi paius-siyon woliki.,그들은 고향에서 일한다.
gio-joi thious-inpos injoes.,우리는 마을 안에서 논다.
mio-joi podamio-otika lokus.,나는 밥을 본다.
tio-joi theso-otika lokus.,너는 저 것을 본다.
hio-joi paius-inpos jowet.,그는 고향 안에 간다.
thio-joi linius-inpos injoes.,그들은 방 안에서 논다.
mio-joi muwat-otika muwates.,나는 물을 마신다.
tio-joi paius-siyon lokus.,너는 고향을 본다.
hios-joi theso-inpos jowet.,그녀는 저 안에 간다.
mio-joi linius-inpos woliki.,나는 방 안에서 일한다.
hio-joi podamio-otika lokus.,그는 밥을 본다.
thio-joi thious-inpos injoes.,그들은 마을 안에서 논다.
gio-joi muwat-otika muwates.,우리는 물을 마신다.
mio-joi paius-siyon jowet.,나는 고향에 간다.
tio-joi theso-otika lokus.,너는 저 것을 본다.
hio-joi linius-inpos injoes.,그는 방 안에서 논다.
thio-joi podamio-otika lokus.,그들은 밥을 본다.
gio-joi thious-inpos jowet.,우리는 마을에 간다.
mio-joi muwat-otika woliki.,나는 물을 마신다.
tio-joi paius-siyon injoes.,너는 고향 안에서 논다.
hios-joi theso-inpos jowet.,그녀는 저 안에 간다.
mio-joi linius-inpos lokus.,나는 방 안을 본다.
tio-joi podamio-otika woliki.,너는 밥을 읽는다.
hio-joi thious-inpos injoes.,그는 마을 안에서 논다.
thio-joi muwat-otika jowet.,그들은 물을 마신다.
gio-joi paius-siyon lokus.,우리는 고향을 본다.
mio-joi theso-inpos woliki.,나는 저 안에서 일한다.
tio-joi linius-inpos injoes.,너는 방 안에서 논다.
hios-joi podamio-otika jowet.,그녀는 밥을 가지러 간다.
mio-joi thious-inpos lokus.,나는 마을 안을 본다.
tio-joi muwat-otika woliki.,너는 물을 마신다.
hio-joi paius-siyon jowet.,그는 고향에 간다.
thio-joi theso-inpos lokus.,그들은 저 안을 본다.
gio-joi linius-inpos woliki.,우리는 방 안에서 일한다.
mio-joi podamio-otika injoes.,나는 밥을 논다.
tio-joi thious-inpos jowet.,너는 마을 안에 간다.
hios-joi muwat-otika lokus.,그녀는 물을 본다.
mio-joi paius-siyon woliki.,나는 고향에서 일한다.
tio-joi theso-inpos injoes.,너는 저 안에서 논다.
hio-joi linius-inpos jowet.,그는 방 안에 간다.
thio-joi podamio-otika woliki.,그들은 밥을 읽는다.
gio-joi thious-inpos injoes.,우리는 마을 안에서 논다.
mio-joi muwat-otika jowet.,나는 물을 가지러 간다.
tio-joi paius-siyon lokus.,너는 고향을 본다.
hios-joi theso-inpos woliki.,그녀는 저 안에서 일한다.
mio-joi linius-inpos jowet.,나는 방 안에 간다.
tio-joi podamio-otika injoes.,너는 밥을 논다.
hio-joi thious-inpos woliki.,그는 마을 안에서 일한다.
thio-joi muwat-otika jowet.,그들은 물을 가지러 간다.
gio-joi paius-siyon injoes.,우리는 고향 안에서 논다.
mio-joi theso-inpos lokus.,나는 저 안을 본다.
tio-joi linius-inpos woliki.,너는 방 안에서 일한다.
hios-joi podamio-otika jowet.,그녀는 밥을 가지러 간다.
mio-joi thious-inpos injoes.,나는 마을 안에서 논다.
tio-joi muwat-otika lokus.,너는 물을 본다.
hio-joi paius-siyon woliki.,그는 고향 안에서 일한다.
thio-joi theso-inpos jowet.,그들은 저 안에 간다.
mio-joi podamio-otika jowet.,나는 밥을 가지러 간다.
tio-joi theso-inpos lokus.,너는 저 안을 본다.
hio-joi linius-inpos injoes.,그는 방 안에서 논다.
hios-joi muwat-otika muwates.,그녀는 물을 마신다.
thio-joi paius-siyon woliki.,그들은 고향에서 일한다.
gio-joi thious-inpos injoes.,우리는 마을 안에서 논다.
mio-joi linius-inpos lokus.,나는 방 안을 본다.
tio-joi podamio-otika injoes.,너는 밥을 논다.
hio-joi theso-inpos jowet.,그는 저 안에 간다.
thio-joi muwat-otika lokus.,그들은 물을 본다.
mio-joi paius-siyon injoes.,나는 고향 안에서 논다.
tio-joi linius-inpos jowet.,너는 방 안에 간다.
hios-joi theso-inpos lokus.,그녀는 저 안을 본다.
mio-joi podamio-otika woliki.,나는 밥을 읽는다.
tio-joi theso-inpos injoes.,너는 저 안에서 논다.
hio-joi muwat-otika jowet.,그는 물을 가지러 간다.
thio-joi linius-inpos woliki.,그들은 방 안에서 일한다.
gio-joi paius-siyon lokus.,우리는 고향을 본다.
mio-joi thious-inpos injoes.,나는 마을 안에서 논다.
tio-joi podamio-otika jowet.,너는 밥을 가지러 간다.
hios-joi theso-inpos woliki.,그녀는 저 안에서 일한다.
mio-joi muwat-otika lokus.,나는 물을 본다.
tio-joi linius-inpos injoes.,너는 방 안에서 논다.
hio-joi thious-inpos jowet.,그는 마을 안에 간다.
thio-joi podamio-otika lokus.,그들은 밥을 본다.
gio-joi theso-inpos injoes.,우리는 저 안에서 논다.
mio-joi linius-inpos jowet.,나는 방 안에 간다.
tio-joi muwat-otika woliki.,너는 물을 마신다.
hios-joi paius-siyon lokus.,그녀는 고향을 본다.
mio-joi thious-inpos jowet.,나는 마을 안에 간다.
tio-joi podamio-otika lokus.,너는 밥을 본다.
hio-joi theso-inpos woliki.,그녀는 저 안에서 일한다.
thio-joi linius-inpos jowet.,그들은 방 안에 간다.
gio-joi muwat-otika injoes.,우리는 물을 논다.
mio-joi paius-siyon lokus.,나는 고향을 본다.
tio-joi thious-inpos woliki.,너는 마을 안에서 일한다.
hios-joi podamio-otika jowet.,그녀는 밥을 가지러 간다.
mio-joi linius-inpos lokus.,나는 방 안을 본다.
tio-joi theso-inpos injoes.,너는 저 안에서 논다.
hio-joi muwat-otika jowet.,그는 물을 가지러 간다.
thio-joi paius-siyon woliki.,그들은 고향 안에서 일한다.
"Relio, framiot!","안녕, 친구야!"
Nuki tio-otika jowet joious-siyon.너희들은 집에 가지 않았다.
"Delio, gio-joi futroyot lokus.","잘 가, 우리는 내일 보자."
Whispi tio-joi futroyot jowet sipioius-siyon?,너는 내일 학교에 가니?
Nuki gio-joi volaster-otika sipioster lokus.,우리는 돈으로 책을 보지 않는다.
Whispi Nuki gio-joi fu-jowet sipioius-siyon?,우리가 내일 학교에 안 가겠지?